num,eng,rus,example
1,cat,кот,beautiful cat
2,believe,вірити,i dont care if you believe in me
3,again,знову,i just wanna hear your scream again
4,over,закінчено,game over
5,around,навколо,beautiful world around us
6,vargant,бродяга,and vargant ronin Jin
7,tempestuous,бурный,tempestuous temperament
8,beheading,обезглавливание,will be executed by beheading
9,regret,сожаления,feling any regret
10,held,держать,what held you idiot?
11,dumplings,пельмени,Hey arent my dumplings ready yet?
12,frown,хмурится,come on dont give me that frown
13,governor,губернатор,that blond boy is the son of the prefectural governor
14,supposed,предпологаемый,whats this supposed to be?
15,rid,избавлять,go and get rid of that insolent peasant
16,insolent,наглый,go and get rid of that insolent peasant
17,peasant,крестьянин,go and get rid of that insolent peasant
18,fuss,суета,dont make a fuss
19,interfere,вмешиватся,are you trying to interfere?
20,bidding,приказы,to serve your lord and do his bidding ... is this honor?
21,hone,точильный камень,is that what you spend all those years hone your skills for?
22,worthless,бесполезный,to be blunt I think youre worthless
23,blunt,прямой тупой,to be blunt I think youre worthless
24,worth,цена,jeez your lives aint worth squat
25,squat,приседать,jeez your lives aint worth squat
26,moron,придурок,what are you some kind of moron
27,folk,народ,folk s who lay a finger on me pay the price
28,payroll,зп,my old mans got Yagyu on his payroll right now
29,recently,недавно,they died just recently
30,celestial,небесный,the celestial beauty of music
31,died,помер,they died from
32,fairytale,казка,None
33,pick,вибрати,None
34,dreaming,мріяти,None
35,scream,кричати,None
36,spent,втрачено,None
37,deceiving,обманювати,None
38,still,досі,None
39,tease,дразнити,None
40,wrong,неправильно,None
41,whaterver,що завгодно,None
42,faded,вицвілий,None
43,above,вище,None
44,wake,розбудити,None
45,gone,пішов,None
46,wise,мудрий,None
47,made,зробив,None
48,poor,бідний,None
49,stealing,крадіжки,None
50,bling men,шикарний чоловік,None
51,sick,хворий,None
