num,eng,rus,example
1,vargant,бродяга,and vargant ronin Jin
2,tempestuous,бурный,tempestuous temperament
3,beheading,обезглавливание,will be executed by beheading
4,regret,сожаления,feling any regret
5,held,держать,what held you idiot?
6,dumplings,пельмени,Hey arent my dumplings ready yet?
7,frown,хмурится,come on dont give me that frown
8,governor,губернатор,that blond boy is the son of the prefectural governor
9,supposed,предпологаемый,whats this supposed to be?
10,rid,избавлять,go and get rid of that insolent peasant
11,insolent,наглый,go and get rid of that insolent peasant
12,peasant,крестьянин,go and get rid of that insolent peasant
13,fuss,суета,dont make a fuss
14,interfere,вмешиватся,are you trying to interfere?
Hardik,50,0,4
Pollard,63,2,2
Bravo,15,3,1
Hardik,50,0,4
Pollard,63,2,2
Bravo,15,3,1
